team_name,player_id,player_name,Score_BoxToBox_25,Score_Desequilibrio_25,Score_Organizacion_25,Score_ContencionPresion_25,Score_Overall_25,Score_BoxToBox_26,Score_Desequilibrio_26,Score_Organizacion_26,Score_ContencionPresion_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Necaxa,28815,Agustín Palavecino,,,,,,74.92592592592592,62.77777777777778,82.88888888888887,77.24279835390946,73.73559670781891,73.73559670781891,0.094
Pumas UNAM,275441,Rodrigo López Quiñones,76.68421052631578,72.36842105263156,77.78947368421053,56.60818713450293,71.65058479532163,,,,,,71.65058479532163,0.01
Necaxa,132486,Pavel Uriel Pérez Hernández,77.92105263157895,67.36842105263158,56.868421052631575,88.71345029239765,71.65058479532163,,,,,,71.65058479532163,0.109
Santos Laguna,140320,Franco Misael Fagúndez Rosa,79.1578947368421,49.078947368421055,77.76315789473682,84.29824561403508,70.81359649122805,,,,,,70.81359649122805,0.027
Monterrey,28517,Víctor Alfonso Guzmán Guzmán,76.63157894736841,68.15789473684211,53.28947368421052,68.04093567251464,66.5358187134503,74.00000000000001,64.44444444444444,75.62962962962962,70.69958847736625,70.88065843621399,70.01169049166126,0.019
Tigres UANL,28207,Francisco Sebastián Córdova Reyes,79.63157894736842,62.236842105263165,54.8421052631579,71.16959064327486,66.5233918128655,,,,,,66.5233918128655,0.027
Guadalajara,23736,Efraín Álvarez,,,,,,55.03703703703704,64.07407407407408,84.77777777777779,44.11522633744856,62.998971193415635,62.998971193415635,0.169
Cruz Azul,41268,Luka Romero Bezzana,,,,,,80.88888888888889,58.33333333333333,36.11111111111111,80.53497942386831,62.85699588477365,62.85699588477365,0.038
Monterrey,12021,Óliver Torres Muñoz,40.63157894736842,61.71052631578948,75.28947368421053,48.07017543859649,57.10745614035088,47.33333333333333,65.55555555555556,84.22222222222223,49.62962962962962,62.48148148148148,61.40667641325536,0.082
Pachuca,26332,Luis Enrique Quiñónes,,,,,,64.44444444444446,60.74074074074074,56.77777777777777,62.96296296296297,61.120370370370374,61.120370370370374,0.048
Guadalajara,26375,Roberto Carlos Alvarado Hernández,,,,,,66.44444444444444,70.0,58.37037037037038,43.16872427983539,60.83744855967079,60.83744855967079,0.063
Atlas,27567,Mateo Ezequiel García,,,,,,70.85185185185185,51.11111111111111,37.666666666666664,87.03703703703704,59.87037037037037,59.87037037037037,0.039
León,26385,Jordi Cortizo de la Piedra,79.65789473684211,37.631578947368425,52.57894736842105,77.3391812865497,59.816520467836256,,,,,,59.816520467836256,0.059
Atlas,37747,Gustavo Javier Del Prete,63.68421052631579,38.28947368421053,61.36842105263158,75.17543859649123,57.78508771929825,,,,,,57.78508771929825,0.16
León,5695,James David Rodríguez Rubio,24.36842105263158,61.05263157894738,85.0,18.596491228070175,49.377192982456144,51.77777777777777,73.33333333333334,78.96296296296298,25.967078189300413,59.878600823045275,57.77831925492745,0.203
Atlético San Luis,182089,Sebastián Pérez Bouquet Pérez,,,,,,60.74074074074074,45.92592592592592,65.37037037037037,62.098765432098766,57.72530864197531,57.72530864197531,0.088
Puebla,406131,Owen de Jesús González Ojeda,,,,,,52.37037037037037,74.62962962962962,61.296296296296305,27.942386831275723,56.394032921810705,56.394032921810705,0.08
Puebla,391381,Miguel Ramírez Pérez,,,,,,59.37037037037036,49.81481481481482,48.592592592592595,69.09465020576133,55.75411522633745,55.75411522633745,0.011
Pumas UNAM,436775,Ángel Jesús Rico Reyes,63.78947368421052,41.18421052631578,50.31578947368421,70.61403508771932,55.00438596491228,,,,,,55.00438596491228,0.006
Pachuca,135200,Alán Ernesto Bautista Gutiérrez,57.473684210526315,59.736842105263165,36.26315789473684,64.79532163742691,54.31432748538012,,,,,,54.31432748538012,0.006
Mazatlán,27356,Nicolás Benedetti Roa,,,,,,44.33333333333333,59.25925925925925,65.96296296296296,44.52674897119341,54.25720164609053,54.25720164609053,0.068
Pachuca,360095,Sergio Adrián Hernández Hernández,66.52631578947368,64.73684210526315,19.710526315789473,65.2046783625731,54.02119883040936,,,,,,54.02119883040936,0.006
Tigres UANL,29586,Juan Francisco Brunetta,47.6578947368421,62.5,65.10526315789474,33.9766081871345,53.736111111111114,,,,,,53.736111111111114,0.022
Puebla,131316,Raúl Iram Castillo González,49.94736842105263,42.89473684210526,49.21052631578947,56.08187134502924,48.87426900584795,,,,,,48.87426900584795,0.03
Pumas UNAM,47345,Adalberto Eliécer Carrasquilla Alcázar,,,,,,43.85185185185185,53.70370370370371,51.7037037037037,40.16460905349794,48.03292181069959,48.03292181069959,0.153
Atlético San Luis,29424,Mateo Klimowicz,59.44736842105263,53.02631578947369,21.394736842105264,59.54678362573098,48.02777777777778,,,,,,48.02777777777778,0.029
Cruz Azul,32022,José Antonio Paradela,38.23684210526316,60.78947368421053,56.210526315789465,38.9766081871345,49.64400584795322,56.666666666666664,35.18518518518518,39.18518518518518,64.05349794238684,47.32921810699589,47.79217565518736,0.08
Tigres UANL,6377,Ángel Martín Correa,,,,,,47.37037037037037,53.7037037037037,39.407407407407405,47.77777777777778,47.361111111111114,47.361111111111114,0.133
Querétaro,412677,Aldahir Perez,54.68421052631579,40.78947368421053,29.73684210526315,66.81286549707602,46.70467836257309,,,,,,46.70467836257309,0.005
Guadalajara,15872,Érick Gabriel Gutiérrez Galaviz,40.68421052631579,46.71052631578948,53.368421052631575,44.941520467836256,46.514619883040936,,,,,,46.514619883040936,0.023
Tijuana,28802,Kevin Castañeda Vargas,34.13157894736842,70.52631578947367,47.1578947368421,26.432748538011698,46.76681286549707,26.4074074074074,61.29629629629629,63.62962962962962,24.89711934156378,45.877572016460896,46.05542018626813,0.003
Cruz Azul,28538,José Ignacio Rivero Segade,,,,,,53.22222222222222,61.66666666666667,22.85185185185185,40.39094650205761,45.59670781893004,45.59670781893004,0.01
Toluca,29408,Jesús Ricardo Angulo Uriarte,39.921052631578945,38.1578947368421,67.71052631578948,32.33918128654971,44.82309941520468,,,,,,44.82309941520468,0.018
Guadalajara,483481,Santiago Sandoval González,,,,,,62.03703703703703,29.444444444444443,20.703703703703702,74.52674897119341,44.42386831275719,44.42386831275719,0.002
Monterrey,401074,Iker Jareth Fimbres Ochoa,43.39473684210527,48.94736842105264,42.81578947368421,38.24561403508772,43.88596491228071,,,,,,43.88596491228071,0.002
Cruz Azul,28894,Lorenzo Abel Faravelli,32.65789473684211,44.73684210526316,50.18421052631579,45.64327485380117,43.26023391812865,,,,,,43.26023391812865,0.013
Cruz Azul,34347,Ángel Jeremy Márquez Castañeda,46.78947368421053,43.815789473684205,32.05263157894737,48.50877192982456,42.55701754385965,,,,,,42.55701754385965,0.014
Mazatlán,26361,Jordan Steeven Sierra Flores,,,,,,27.7037037037037,46.666666666666664,50.66666666666667,41.97530864197531,41.98765432098766,41.98765432098766,0.119
Juárez,26273,Rodolfo Gilbert Pizarro Thomas,,,,,,52.81481481481482,44.44444444444445,29.74074074074074,38.23045267489712,41.61831275720164,41.61831275720164,0.044
León,30457,Fernando Beltrán Cruz,41.89473684210527,57.23684210526316,53.21052631578948,40.292397660818715,49.005847953216374,38.37037037037036,29.629629629629623,47.62962962962963,46.62551440329218,39.71399176954732,41.57236300628113,0.139
Juárez,31431,Raymundo de Jesús Fulgencio Román,33.21052631578947,32.76315789473684,62.60526315789474,35.23391812865497,40.829678362573105,,,,,,40.829678362573105,0.07
Juárez,29266,Dieter Daniel Villalpando Pérez,37.94736842105263,44.473684210526315,30.789473684210527,45.81871345029239,39.69005847953216,,,,,,39.69005847953216,0.024
Santos Laguna,37591,Aldo López Vargas,,,,,,29.592592592592588,40.18518518518518,45.55555555555556,40.123456790123456,38.867283950617285,38.867283950617285,0.024
Querétaro,23754,Lucas Rodríguez,35.526315789473685,41.184210526315795,30.26315789473684,42.80701754385965,37.3640350877193,,,,,,37.3640350877193,0.117
Pachuca,78288,John Kennedy Batista de Souza,39.263157894736835,51.71052631578948,8.052631578947366,37.45614035087719,34.83333333333333,,,,,,34.83333333333333,0.13
Club América,34349,Alexis Hazael Gutiérrez Torres,24.157894736842103,36.9078947368421,48.28947368421053,22.105263157894736,33.60526315789473,,,,,,33.60526315789473,0.079
Querétaro,184501,Eduardo Alonso Armenta Palma,,,,,,30.185185185185183,25.740740740740737,38.407407407407405,42.222222222222214,33.31481481481481,33.31481481481481,0.042
Querétaro,46679,Rodrigo Manuel Bogarín Giménez,23.71052631578947,10.263157894736842,33.184210526315795,34.21052631578948,24.144736842105267,29.444444444444443,40.370370370370374,27.074074074074073,43.621399176954725,34.965020576131685,32.800963829326406,0.021
